,0,1,2
Stars,5004.73046875,13991.3721340388,3368.2754237288136
Forks,943.90625,3105.1111111111113,531.7065677966102
Pull,16.765625,40.13227513227513,5.996822033898305
Commit,2085.45703125,7129.181657848325,359.9025423728813
Branches,9.1953125,47.99647266313933,3.6832627118644066
contributor_numbers_in_total,69.64453125,228.4021164021164,21.76271186440678
first_month_commits,2.609375,69.34215167548501,32.6896186440678
six_months_commits,3.48046875,264.34567901234567,73.47139830508475
one_year_commits,3.95703125,443.86596119929453,106.48834745762711
two_year_commits,4.984375,718.663139329806,147.57415254237287
no_of_commits_original,27.21484375,1394.5202821869489,208.52648305084745
one_year_median_non,5.599609375,12.93915343915344,1.9141949152542372
two_year_median_non,3.607421875,9.989417989417989,1.5990466101694916
original_contributor_average_duration,147.52479329424202,23.15771384726945,196.6258500560951
non_original_contributor_average_duration,703.9824067767217,62.67142859797509,641.494533840016
no_of_surpass_days,1506.265625,3380.299823633157,59.791313559322035
no_of_days,329.0390625,866.5220458553791,107.98940677966101
