,0,1,2
Stars,6726.055409683066,23298.307915343565,3573.1051735902533
Forks,1333.4848135765233,6380.554430255719,705.3833608829152
Pull,50.83336628092791,118.86987777986987,9.181161868850678
Commit,6526.611459497529,35276.92390263518,710.9644361825202
Branches,21.546687509848446,430.248050717893,5.141094654125735
contributor_numbers_in_total,126.60088052761573,480.80094453324887,22.834617899374212
first_month_commits,2.6113909598331007,78.52851232747027,37.939004155799005
six_months_commits,3.7047411826458476,274.62408050870863,87.2683555654075
one_year_commits,4.375747485164287,455.6816891096712,128.1123408119454
two_year_commits,6.461329159685638,764.01350821917,184.5561090291539
no_of_commits_original,234.3326710469018,2323.6153761126952,331.589359011207
one_year_median_non,19.944944807550243,63.05597449988482,9.679818505926287
two_year_median_non,8.796009767900998,52.222866667941105,2.320202468116348
original_contributor_average_duration,534.2848058842037,23.474634951813098,332.36552419409827
non_original_contributor_average_duration,2039.1479333522161,96.1511858788249,1146.2947033682472
no_of_surpass_days,4873.383999604181,9040.033201906534,232.0393334502795
no_of_days,707.7730931656796,810.2768770278369,124.4701171685011
