,0,1,2
Stars,2701.0,5707.0,2442.5
Forks,500.5,1066.0,339.5
Pull,5.0,13.0,3.0
Commit,391.5,2226.0,215.5
Branches,3.0,9.0,2.0
contributor_numbers_in_total,25.0,101.0,15.0
first_month_commits,1.0,47.0,20.0
six_months_commits,2.0,181.0,46.0
one_year_commits,2.0,316.0,67.5
two_year_commits,2.0,484.0,93.0
no_of_commits_original,2.0,762.0,115.0
one_year_median_non,1.0,1.5,1.0
two_year_median_non,1.25,1.0,1.0
original_contributor_average_duration,0.9838888888888889,16.61999152542361,100.34232528481613
non_original_contributor_average_duration,144.21809027777778,35.156140371973606,298.37618055555555
no_of_surpass_days,227.5,312.0,0.0
no_of_days,96.0,589.0,69.0
