robospice,"Repo of the Open Source Android library : RoboSpice. RoboSpice is a modular android library that makes writing asynchronous long running tasks easy. It is specialized in network requests, supports caching and offers REST requests out-of-the box using extension modules."
username,timestamp,url,sha,message
stephanenicolas,2018-01-14 04:12:11,https://api.github.com/repos/stephanenicolas/robospice/git/commits/8bffde88b3534a961a13cab72a8f07a755f0a0fe,8bffde88b3534a961a13cab72a8f07a755f0a0fe,Update README.md
softwaremaverick,2016-08-25 22:07:48,https://api.github.com/repos/stephanenicolas/robospice/git/commits/1f7499c7898bb994beea4fd47192963f7ac23ecc,1f7499c7898bb994beea4fd47192963f7ac23ecc,"Merge pull request #407 from orwir/patch-1

changed visibility of method createRequestRunner()"
rciovati,2014-10-17 18:08:57,https://api.github.com/repos/stephanenicolas/robospice/git/commits/211949a3806215cd9828744dd6da71c49b6fa32f,211949a3806215cd9828744dd6da71c49b6fa32f,"Merge pull request #373 from zayass/release

materialize maven relocation. for gradle 2.1"
anton-pogonets,2014-10-17 16:20:45,https://api.github.com/repos/stephanenicolas/robospice/git/commits/1f8a8d5e3f5f2af17356a563367831cf41b16d1e,1f8a8d5e3f5f2af17356a563367831cf41b16d1e,materialize maven relocation. for gradle 2.1
stephanenicolas,2014-09-06 11:32:51,https://api.github.com/repos/stephanenicolas/robospice/git/commits/5f6603028c8d0a079d9c688f634455fc3472fae5,5f6603028c8d0a079d9c688f634455fc3472fae5,[maven-release-plugin] prepare release robospice-parent-1.4.14
stephanenicolas,2014-09-06 11:18:19,https://api.github.com/repos/stephanenicolas/robospice/git/commits/bc5c4f22b7fa9aac7909a7afbf7917279e8cb7ac,bc5c4f22b7fa9aac7909a7afbf7917279e8cb7ac,Update changelog. Prepare to release 1.4.14
stephanenicolas,2014-09-06 10:48:52,https://api.github.com/repos/stephanenicolas/robospice/git/commits/07e780b38c4f91b7b9c2b71fff50e5b9ab607b10,07e780b38c4f91b7b9c2b71fff50e5b9ab607b10,Update all versions. See https://github.com/stephanenicolas/robospice/issues/351
stephanenicolas,2014-09-06 10:21:19,https://api.github.com/repos/stephanenicolas/robospice/git/commits/f471dcdee15f86ad882c0431270caca2b18f1968,f471dcdee15f86ad882c0431270caca2b18f1968,Merge with https://github.com/stephanenicolas/robospice/pull/352
stephanenicolas,2014-09-06 10:14:35,https://api.github.com/repos/stephanenicolas/robospice/git/commits/c7f79d3f3f23d77e63bb89d069fc45406361b225,c7f79d3f3f23d77e63bb89d069fc45406361b225,Prepare version 1.4.14
stephanenicolas,2014-07-15 22:24:22,https://api.github.com/repos/stephanenicolas/robospice/git/commits/a8290e4d964a3373e558d12fe9baffd33cb9d4c7,a8290e4d964a3373e558d12fe9baffd33cb9d4c7,Update README.md
stephanenicolas,2014-06-15 16:55:08,https://api.github.com/repos/stephanenicolas/robospice/git/commits/9488df7bf83b02956067fc0695b7dfeb1e406424,9488df7bf83b02956067fc0695b7dfeb1e406424,Update README.md
stephanenicolas,2014-06-10 10:13:03,https://api.github.com/repos/stephanenicolas/robospice/git/commits/f7faebddfa6115e963a4f1d2c3fa98fa9d0baaf6,f7faebddfa6115e963a4f1d2c3fa98fa9d0baaf6,Update README.md
stephanenicolas,2014-06-10 08:07:43,https://api.github.com/repos/stephanenicolas/robospice/git/commits/c726f86baa8021f990f81a02a5e0eabd892bc6fe,c726f86baa8021f990f81a02a5e0eabd892bc6fe,Update README.md
stephanenicolas,2014-05-14 21:27:52,https://api.github.com/repos/stephanenicolas/robospice/git/commits/4dd53d4d4737aea7186301ee5696b60e1048c631,4dd53d4d4737aea7186301ee5696b60e1048c631,Update README.md
stephanenicolas,2014-05-14 21:27:28,https://api.github.com/repos/stephanenicolas/robospice/git/commits/1dd7716aa7d71f8fc2464b59d60a4690b5b22298,1dd7716aa7d71f8fc2464b59d60a4690b5b22298,Update README.md
rciovati,2014-05-06 11:32:54,https://api.github.com/repos/stephanenicolas/robospice/git/commits/42319c98275e0884cfb6c64db8eacf9541b1ec4d,42319c98275e0884cfb6c64db8eacf9541b1ec4d,add maven badge to show latest version
rciovati,2014-04-17 20:28:53,https://api.github.com/repos/stephanenicolas/robospice/git/commits/683a4e2ad701db49d72725aa614d89e35f0f03c5,683a4e2ad701db49d72725aa614d89e35f0f03c5,cleanup readme
stephanenicolas,2014-08-10 03:47:21,https://api.github.com/repos/stephanenicolas/robospice/git/commits/787d716cfb9a7640dfe082e62f45e543bf617236,787d716cfb9a7640dfe082e62f45e543bf617236,Update changelog
stephanenicolas,2014-08-03 19:02:07,https://api.github.com/repos/stephanenicolas/robospice/git/commits/46484ed8e16a65759bf755ebc4b0feebdf5b2408,46484ed8e16a65759bf755ebc4b0feebdf5b2408,[maven-release-plugin] prepare for next development iteration
stephanenicolas,2014-08-03 19:02:03,https://api.github.com/repos/stephanenicolas/robospice/git/commits/d4e402d3629c97af3f8b2b55c8b2e291b90b3a15,d4e402d3629c97af3f8b2b55c8b2e291b90b3a15,[maven-release-plugin] prepare release robospice-parent-1.4.13
stephanenicolas,2014-08-03 18:51:42,https://api.github.com/repos/stephanenicolas/robospice/git/commits/8f8535351af72758bfa40f6c2a862577b7765d4f,8f8535351af72758bfa40f6c2a862577b7765d4f,Fix checkstyle violations. Ready to release 1.4.13
stephanenicolas,2014-08-03 16:19:25,https://api.github.com/repos/stephanenicolas/robospice/git/commits/7f257d81f095340cce08f9c3251d52469ab843a9,7f257d81f095340cce08f9c3251d52469ab843a9,Travis should be repaired.
stephanenicolas,2014-08-03 16:16:02,https://api.github.com/repos/stephanenicolas/robospice/git/commits/1f85af396e0dc5936a4d9ec3c2e9771c6e5912f7,1f85af396e0dc5936a4d9ec3c2e9771c6e5912f7,debug travis
